payment_id,customer_id,amount,payment_date
3001,1001,499,2023-01-29
3002,1001,499,2023-12-08
3003,1001,499,2022-03-10
3004,1001,499,2021-07-22
3005,1001,499,2022-09-23
3006,1001,499,2022-03-12
3007,1001,499,2021-10-27
3008,1001,499,2022-01-20
3009,1001,499,2024-11-10
3010,1001,499,2021-07-23
3011,1001,499,2024-11-12
3012,1001,499,2022-09-24
3013,1002,699,2021-06-22
3014,1002,699,2024-04-29
3015,1002,699,2022-09-03
3016,1002,699,2023-09-29
3017,1002,699,2023-07-24
3018,1002,699,2021-03-20
3019,1002,699,2023-12-22
3020,1002,699,2024-08-28
3021,1002,699,2022-11-22
3022,1002,699,2024-09-10
3023,1002,699,2024-12-07
3024,1002,699,2021-04-28
3025,1002,699,2021-08-31
3026,1002,699,2021-03-29
3027,1002,699,2021-07-11
3028,1003,499,2023-07-28
3029,1003,499,2021-02-25
3030,1003,499,2023-08-02
3031,1003,499,2024-10-10
3032,1003,499,2025-01-05
3033,1003,499,2025-01-20
3034,1003,499,2023-07-20
3035,1003,499,2022-11-06
3036,1004,699,2024-05-10
3037,1004,699,2023-04-14
3038,1004,699,2021-09-19
3039,1004,699,2023-02-02
3040,1004,699,2021-07-04
3041,1004,699,2022-02-11
3042,1004,699,2024-10-14
3043,1004,699,2022-07-17
3044,1004,699,2024-03-18
3045,1004,699,2023-07-20
3046,1004,699,2022-06-18
3047,1004,699,2022-08-20
3048,1004,699,2023-10-11
3049,1004,699,2021-11-20
3050,1004,699,2023-02-28
3051,1005,999,2023-09-21
3052,1005,999,2023-03-30
3053,1005,999,2021-06-27
3054,1005,999,2021-04-11
3055,1005,999,2021-12-02
3056,1005,999,2021-03-07
3057,1005,999,2022-12-22
3058,1005,999,2023-05-16
3059,1005,999,2022-09-04
3060,1005,999,2022-10-02
3061,1006,999,2024-07-16
3062,1006,999,2024-11-12
3063,1006,999,2021-10-20
3064,1006,999,2021-06-12
3065,1006,999,2021-11-07
3066,1006,999,2023-11-13
3067,1006,999,2023-01-07
3068,1006,999,2023-08-29
3069,1006,999,2024-12-15
3070,1007,999,2023-01-11
3071,1007,999,2024-10-23
3072,1007,999,2023-10-29
3073,1007,999,2024-03-28
3074,1007,999,2022-04-09
3075,1007,999,2023-03-02
3076,1007,999,2021-03-09
3077,1007,999,2025-01-15
3078,1007,999,2021-12-15
3079,1007,999,2022-12-01
3080,1008,699,2024-07-24
3081,1008,699,2021-04-14
3082,1008,699,2023-05-17
3083,1008,699,2022-02-03
3084,1008,699,2024-01-14
3085,1008,699,2025-01-04
3086,1008,699,2024-04-03
3087,1008,699,2024-08-11
3088,1008,699,2021-05-21
3089,1008,699,2022-09-24
3090,1009,699,2021-05-16
3091,1009,699,2021-04-27
3092,1009,699,2023-01-09
3093,1009,699,2024-06-18
3094,1009,699,2023-02-08
3095,1009,699,2022-12-13
3096,1009,699,2022-03-31
3097,1009,699,2024-07-24
3098,1010,999,2021-04-25
3099,1010,999,2021-11-22
3100,1010,999,2022-06-15
3101,1010,999,2022-04-27
3102,1010,999,2022-07-18
3103,1010,999,2024-03-23
3104,1010,999,2021-06-12
3105,1010,999,2022-11-21
3106,1010,999,2022-01-16
3107,1010,999,2024-07-31
3108,1010,999,2022-09-21
3109,1010,999,2023-06-06
3110,1010,999,2023-07-15
3111,1010,999,2022-03-07
3112,1010,999,2023-04-12
3113,1011,699,2025-01-14
3114,1011,699,2021-11-11
3115,1011,699,2023-04-15
3116,1011,699,2024-07-09
3117,1011,699,2024-10-03
3118,1011,699,2021-03-21
3119,1011,699,2023-09-01
3120,1011,699,2023-08-09
3121,1011,699,2024-11-13
3122,1011,699,2023-08-28
3123,1011,699,2021-06-07
3124,1012,999,2023-07-08
3125,1012,999,2024-09-30
3126,1012,999,2024-02-13
3127,1012,999,2023-04-01
3128,1012,999,2021-05-05
3129,1012,999,2024-09-06
3130,1012,999,2024-01-26
3131,1012,999,2023-02-12
3132,1012,999,2024-04-18
3133,1012,999,2021-02-13
3134,1012,999,2024-11-04
3135,1012,999,2024-05-01
3136,1012,999,2024-10-10
3137,1012,999,2023-06-03
3138,1012,999,2021-10-25
3139,1013,699,2023-11-05
3140,1013,699,2022-03-24
3141,1013,699,2023-01-28
3142,1013,699,2021-04-02
3143,1013,699,2022-05-29
3144,1013,699,2024-12-26
3145,1013,699,2024-05-31
3146,1013,699,2021-10-10
3147,1013,699,2021-02-27
3148,1014,499,2022-12-11
3149,1014,499,2022-08-19
3150,1014,499,2022-12-11
3151,1014,499,2023-04-07
3152,1014,499,2021-09-24
3153,1014,499,2023-07-23
3154,1014,499,2022-03-21
3155,1014,499,2025-01-14
3156,1014,499,2021-09-18
3157,1014,499,2023-02-07
3158,1015,499,2024-09-17
3159,1015,499,2022-07-31
3160,1015,499,2021-04-16
3161,1015,499,2024-12-10
3162,1015,499,2024-06-02
3163,1015,499,2022-03-24
3164,1015,499,2021-11-29
3165,1015,499,2025-02-04
3166,1015,499,2023-01-10
3167,1016,699,2023-03-13
3168,1016,699,2021-03-25
3169,1016,699,2024-06-15
3170,1016,699,2021-01-24
3171,1016,699,2024-09-26
3172,1016,699,2023-08-16
3173,1016,699,2022-02-26
3174,1016,699,2021-05-29
3175,1016,699,2021-11-22
3176,1016,699,2021-03-05
3177,1016,699,2021-09-12
3178,1016,699,2024-06-03
3179,1016,699,2023-08-10
3180,1017,699,2022-02-07
3181,1017,699,2023-06-02
3182,1017,699,2023-05-09
3183,1017,699,2023-06-22
3184,1017,699,2023-04-09
3185,1017,699,2021-04-30
3186,1017,699,2024-11-14
3187,1017,699,2022-01-10
3188,1018,699,2024-01-01
3189,1018,699,2024-11-01
3190,1018,699,2024-12-14
3191,1018,699,2024-05-02
